Nome,Sigla,Logradouro,lat,lon,Abacate,Abóbora,Abobrinha,Acelga,Alface,Alho,Batata doce,Beterraba,Brócolis,Cebola,Cebolinha,Cenoura,Chuchu,Coentro,Couve-flor,Couve,Espinafre,Goiaba,Hortelã,Inhame,Limão,Manjericão,Maracujá,Milho verde,Morango,Pepino,Pimentão,Repolho verde,Repolho roxo,Salsa,Tangerina,Tomate,Vagem,Banana
Associação de agricultores familiares da eco comunidade do assentamento 15 de agosto,AFECA,São Sebastião,-15.9984242381336,-47.7665316077568,False,True,True,True,True,False,False,False,False,False,True,False,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,True,False,True,False,False
Associação agrícola do distrito federal e ride,AGRIFAM,Taguatinga,-15.8332267360471,-48.0700580104388,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
Associação agrícola do distrito federal e ride,AGRIFAM,Gama,-15.981177484441,-48.1692851340275,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
Associação agrícola do distrito federal e ride,AGRIFAM,Santa Maria,-29.7162471792051,-53.828911375588,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
"Associação mista dos agricultores familiares, orgânicos e produtores rurais do df e entorno",AMISTA,Santa Maria,-29.7162471792051,-53.828911375588,True,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False,True,True,True,True,True,False,True,True,False
Associação dos produtores da agricultura familiar,ASPAF,Guará,-15.8145986498828,-47.969027739316,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Associação dos produtores da agricultura familiar,ASPAF,Núcleo Bandeirante,-15.9188943361437,-47.9410831055365,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Associação dos produtores da agricultura familiar,ASPAF,Plano Piloto,-15.7947354269518,-47.8916152815739,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Associação dos produtores rurais de alexandre gusmão,ASPAG,Brazlândia,-15.6514400790072,-48.1589810431124,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
Associação dos produtores de hortigranjeiros do distrito federal,ASPHOR,Gama,-15.981177484441,-48.1692851340275,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False
Associação dos produtores de hortigranjeiros do distrito federal,ASPHOR,Santa Maria,-29.7162471792051,-53.828911375588,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Associação dos produtores de hortigranjeiros do distrito federal,ASPHOR,Plano Piloto,-15.7947354269518,-47.8916152815739,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Associação dos produtores rurais orgânicos e convencionais do distrito federal e entorno,ASPROC,Ceilândia,-15.8290110647567,-48.2172735659416,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Associação dos produtores rurais orgânicos e convencionais do distrito federal e entorno,ASPROC,Recanto das Emas,-15.9344205940714,-48.1381350337238,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Associação dos produtores rurais orgânicos e convencionais do distrito federal e entorno,ASPROC,Samambaia,-15.8848211192412,-48.1613322995125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Associação dos produtores rurais orgânicos e convencionais do distrito federal e entorno,ASPROC,Paranoá,-15.7559789365295,-47.6826449011394,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Associação dos produtores rurais orgânicos e convencionais do distrito federal e entorno,ASPROC,Planaltina,-15.4520099138676,-47.6090123852225,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Associação dos produtores rurais novo horizonte betinho,ASPRONTE,Ceilândia,-15.8290110647567,-48.2172735659416,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Associação dos produtores rurais novo horizonte betinho,ASPRONTE,Recanto das Emas,-15.9344205940714,-48.1381350337238,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,False,True,False,True,True,False
Associação dos trabalhadores rurais da agricultura familiar do assentamento chapadinha,ASTRAF,Guará,-15.8145986498828,-47.969027739316,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True
Cooperativa mista da agricultura familiar do meio ambiente e da cultura do brasil,COOPBRASIL,Gama,-15.981177484441,-48.1692851340275,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cooperativa mista da agricultura familiar do meio ambiente e da cultura do brasil,COOPBRASIL,Recanto das Emas,-15.9344205940714,-48.1381350337238,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True
Cooperativa mista da agricultura familiar do meio ambiente e da cultura do brasil,COOPBRASIL,Samambaia,-15.8848211192412,-48.1613322995125,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True
Cooperativa mista da agricultura familiar do meio ambiente e da cultura do brasil,COOPBRASIL,Núcleo Bandeirante,-15.9188943361437,-47.9410831055365,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cooperativa mista da agricultura familiar do meio ambiente e da cultura do brasil,COOPBRASIL,Planaltina,-15.4520099138676,-47.6090123852225,False,False,False,True,True,True,False,False,False,True,True,False,True,True,True,False,True,False,True,True,False,True,False,True,True,False,True,False,False,True,False,True,True,True
Cooperativa mista da agricultura familiar do meio ambiente e da cultura do brasil,COOPBRASIL,Brazlândia,-15.6514400790072,-48.1589810431124,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cooperativa mista da agricultura familiar do meio ambiente e da cultura do brasil,COOPBRASIL,Ceilândia,-15.8290110647567,-48.2172735659416,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Cooperativa agrícola buriti vermelho,COOPER‑HORTI,Paranoá,-15.7559789365295,-47.6826449011394,True,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,True,False,True,False,False,True,True,True,False,False,True,False,False,False
Cooperativa dos produtores rurais de planaltina de goiás e região,PRORURAL,Plano Piloto,-15.7947354269518,-47.8916152815739,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True
Cooperativa dos produtores rurais de planaltina de goiás e região,PRORURAL,Paranoá,-15.7559789365295,-47.6826449011394,False,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,True,True,True,False,False,True,False,True,False,False,False,False,True,True,False,True,True,True
Cooperativa agropecuária da região de brazlândia,COOPEBRAZ,Brazlândia,-15.6514400790072,-48.1589810431124,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Cooperativa agropecuária da região de brazlândia,COOPEBRAZ,Taguatinga,-15.8332267360471,-48.0700580104388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Cooperativa agropecuária da região de brazlândia,COOPEBRAZ,Samambaia,-15.8848211192412,-48.1613322995125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Cooperativa agropecuária da região de brazlândia,COOPEBRAZ,Recanto das Emas,-15.9344205940714,-48.1381350337238,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Cooperativa de agricultura familiar mista do distrito federal,COOPERMISTA,Planaltina,-15.4520099138676,-47.6090123852225,True,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,False
Cooperativa dos agricultores familiares ecológicos do cerrado,REDE TERRA,Santa Maria,-29.7162471792051,-53.828911375588,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
Cooperativa agrícola da região de planaltina,COOTAQUARA,Ceilândia,-15.8290110647567,-48.2172735659416,True,True,True,False,True,False,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True
"Cooperativa de serviços ambientais, agricultura familiar, sociedade, cultura e saúde",COOPERBRASÍLIA,Sobradinho,-15.5814891913726,-47.8661108568403,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
"Cooperativa de serviços ambientais, agricultura familiar, sociedade, cultura e saúde",COOPERBRASÍLIA,São Sebastião,-15.9984242381336,-47.7665316077568,True,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True,True
